# source, target, weight, time
0,1,1,1133377860
0,114,1,1133379840
0,152,1,1133379180
2,3,1,1133379300
2,28,1,1133379840
2,135,1,1133386020
2,2037,1,1137425040
3,1,1,1133377680
3,28,1,1133378400
3,7,1,1133382780
3,20105,1,1139211540
3,32284,1,1144919580
3,35917,1,1144322580
4,5,1,1133434440
4,2744,1,1148560200
5,6,1,1133441700
5,15,1,1133647260
5,6,1,1133382960
5,5,1,1133446440
5,17,1,1133380920
5,52,1,1133381220
5,6,1,1133440980
5,17,1,1133547300
5,1089,1,1132959060
5,1089,1,1132952760
5,1089,1,1132954560
5,1089,1,1132974780
5,1883,1,1132388700
5,1844,1,1132386600
5,1956,1,1132405680
5,1569,1,1132132740
5,5087,1,1130753280
5,5348,1,1130696820
5,5087,1,1130700240
5,7059,1,1130074080
5,1214,1,1130079960
5,1214,1,1130075160
5,7059,1,1130236140
5,175,1,1129742160
5,7375,1,1129224660
5,3212,1,1127585100
5,3212,1,1127624280
5,14680,1,1126856820
5,346,1,1126860600
5,3425,1,1126765920
5,14792,1,1126633260
5,15806,1,1126348080
5,1740,1,1134842280
5,17466,1,1134294180
5,35503,1,1145002020
5,14653,1,1142929680
6,53,1,1133384640
6,18,1,1133386380
6,5,1,1133384340
6,34,1,1133379300
6,8531,1,1129662240
6,12499,1,1128009720
6,12583,1,1128010080
6,8002,1,1138375620
6,22544,1,1138374960
6,701,1,1138216740
6,23076,1,1138216080
6,13505,1,1134157380
6,29749,1,1134157740
6,1912,1,1134158040
6,242,1,1143490500
6,3320,1,1142876340
7,8,1,1133391000
7,3,1,1133381280
7,8,1,1133382480
7,8,1,1133460240
7,630,1,1133048820
7,1308,1,1132947300
7,773,1,1132955160
7,1498,1,1132832820
7,2595,1,1132229760
7,153,1,1130688960
7,5184,1,1130689920
7,5581,1,1130519400
7,206,1,1130520240
7,10732,1,1128522360
7,1379,1,1128522960
7,7763,1,1128523620
7,1979,1,1127666280
7,13479,1,1127644560
7,15028,1,1126557720
7,10437,1,1140780600
7,14078,1,1140376080
7,1214,1,1140200880
7,639,1,1140194940
7,487,1,1140194640
7,8543,1,1140196380
7,1214,1,1140202680
7,18403,1,1140194280
7,11562,1,1140020040
7,17599,1,1139841000
7,236,1,1139839860
7,19013,1,1139860260
7,1853,1,1139840760
7,3263,1,1139839200
7,19080,1,1139673960
7,14010,1,1139677020
7,7929,1,1139230380
7,19965,1,1139232960
7,11077,1,1139229060
7,18,1,1138989960
7,430,1,1138989600
7,4141,1,1138977720
7,12565,1,1138880880
7,20546,1,1138882920
7,2357,1,1138882260
7,15714,1,1138485120
7,21946,1,1138408020
7,21925,1,1138396440
7,4065,1,1138396860
7,21179,1,1138396260
7,22007,1,1138388760
7,22253,1,1138375860
7,16790,1,1138188060
7,3724,1,1138125120
7,14042,1,1138125600
7,1466,1,1137844140
7,7051,1,1137680100
7,9596,1,1137679740
7,7051,1,1137678480
7,3981,1,1137678900
7,5524,1,1137174840
7,24889,1,1137172920
7,4058,1,1137174420
7,402,1,1137082980
7,2204,1,1137082800
7,3015,1,1136658960
7,1945,1,1136657640
7,7,1,1136658060
7,25140,1,1136573580
7,275,1,1136573400
7,25144,1,1136573100
7,25478,1,1136342940
7,3178,1,1136347560
7,25943,1,1135856580
7,25921,1,1135856040
7,439,1,1135857900
7,9739,1,1135855500
7,25939,1,1135857120
7,25912,1,1135857660
7,24889,1,1135735740
7,26000,1,1135740120
7,18833,1,1135736700
7,3425,1,1135727580
7,26043,1,1135737180
7,3946,1,1135738560
7,430,1,1135726920
7,26236,1,1135635900
7,26224,1,1135635600
7,2605,1,1135636200
7,18328,1,1135274760
7,7538,1,1135272840
7,26813,1,1135263540
7,26788,1,1135261080
7,26816,1,1135260960
7,9596,1,1135273800
7,10305,1,1135260720
7,26816,1,1135261560
7,3047,1,1135261380
7,4704,1,1135263660
7,6684,1,1135263300
7,5572,1,1135273140
7,558,1,1135260420
7,8006,1,1135262400
7,26836,1,1135260120
7,5572,1,1135275180
7,201,1,1135251660
7,2446,1,1135104660
7,6507,1,1135110420
7,1076,1,1135103460
7,6539,1,1135102800
7,12700,1,1135102680
7,5591,1,1135008480
7,28039,1,1134843420
7,4751,1,1134841680
7,28064,1,1134842580
7,26251,1,1134840480
7,28111,1,1134844920
7,5128,1,1134843660
7,29266,1,1134399180
7,29231,1,1134366780
7,29253,1,1134369480
7,1076,1,1133530620
7,8193,1,1133531520
7,236,1,1147948500
7,5553,1,1147342500
7,32954,1,1146743400
7,1627,1,1146691680
7,5553,1,1146691200
7,33186,1,1146669180
7,33496,1,1146404460
7,2318,1,1146131880
7,34441,1,1145969040
7,3426,1,1145634840
7,34829,1,1145633040
7,31857,1,1145620500
7,30656,1,1145619600
7,4186,1,1145620200
7,24673,1,1145530320
7,3395,1,1145363040
7,35311,1,1145018220
7,775,1,1144924800
7,4172,1,1144139940
7,36273,1,1144139460
7,1081,1,1144139100
7,9065,1,1144076640
7,19447,1,1143056100
7,639,1,1143055920
7,17407,1,1142701920
7,38051,1,1142636520
7,8618,1,1142513820
7,6542,1,1142237280
7,14329,1,1142014620
7,17008,1,1142013000
7,9017,1,1142014020
7,1740,1,1142013480
7,30305,1,1141847820
7,506,1,1141847520
7,7941,1,1141859100
7,39422,1,1141844640
7,3684,1,1141845900
7,39462,1,1141861380
7,2099,1,1141863000
7,2854,1,1141734840
7,2578,1,1141319940
7,29245,1,1141319520
7,50,1,1141305960
7,11840,1,1141162020
7,3058,1,1141163340
7,5583,1,1141163100
7,32633,1,1141175280
7,15762,1,1141164060
7,32633,1,1141167840
7,1140,1,1141161780
7,15060,1,1141133700
7,11647,1,1141134180
7,4355,1,1155461340
7,1940,1,1154337300
7,6246,1,1154032140
7,18030,1,1154020680
7,5524,1,1154020920
7,12301,1,1152891480
7,33870,1,1152885540
7,44711,1,1152883620
7,33282,1,1152287160
7,641,1,1152276240
7,27941,1,1152277320
7,45555,1,1152013620
7,345,1,1152014220
7,45585,1,1152023040
7,19472,1,1152014760
7,25123,1,1151931900
7,19824,1,1151836500
7,1490,1,1151839500
7,93,1,1151741520
7,42445,1,1151735580
7,7718,1,1151597220
7,31385,1,1151424300
7,15036,1,1151424180
7,9618,1,1150854420
7,2212,1,1150193520
7,2212,1,1150146600
7,42144,1,1149987360
7,26413,1,1149870540
7,5553,1,1149478140
7,1108,1,1149419640
7,31728,1,1149420000
7,15762,1,1149303780
7,588,1,1149242700
7,49842,1,1148750580
8,20,1,1133382060
8,34,1,1133384520
8,7,1,1133400360
8,60,1,1133399460
8,34,1,1133379900
8,36,1,1133383500
8,7,1,1133469060
8,58,1,1133383800
8,61,1,1133389800
8,34,1,1133382420
8,34,1,1133387700
8,230,1,1133469900
8,243,1,1133390400
8,251,1,1133365740
8,242,1,1133532900
8,302,1,1133377260
8,242,1,1133469240
8,251,1,1133374980
8,186,1,1133381460
8,215,1,1133469600
8,186,1,1133374500
8,200,1,1133365980
8,186,1,1133384220
8,186,1,1133377020
8,5927,1,1130515200
8,18,1,1130532660
8,3221,1,1130515020
8,5965,1,1130514780
8,762,1,1130257680
8,5574,1,1130073540
8,762,1,1130238060
8,762,1,1130176680
8,1019,1,1130176080
8,175,1,1129746300
8,4971,1,1129742280
8,7961,1,1129730520
8,8004,1,1129729080
8,7958,1,1129733760
8,201,1,1129716480
8,626,1,1129727700
8,7104,1,1129745880
8,8130,1,1129731000
8,4971,1,1129774920
8,307,1,1129207860
8,307,1,1129575300
8,307,1,1129639980
8,3518,1,1129204080
8,1335,1,1129235220
8,9792,1,1129234200
8,9881,1,1129235100
8,307,1,1129235820
8,10159,1,1129049280
8,127,1,1128691740
8,10628,1,1128685380
8,127,1,1128686160
8,5634,1,1128443820
8,9078,1,1127697240
8,225,1,1127664540
8,768,1,1138989180
8,20266,1,1138993740
8,430,1,1138987680
8,20258,1,1138995540
8,24076,1,1137600300
8,25143,1,1136573280
8,27006,1,1135027980
8,27783,1,1135020060
8,4434,1,1135020540
8,307,1,1135099740
8,18383,1,1134838980
8,30630,1,1144758300
8,5865,1,1144139100
8,5865,1,1144087920
8,2883,1,1144087740
8,35778,1,1144079340
8,430,1,1144075080
8,36341,1,1144076100
8,1081,1,1142866260
8,38781,1,1142259360
8,6542,1,1142221440
8,38775,1,1142219160
8,21257,1,1141321980
8,9959,1,1148574000
9,10,1,1133390520
10,158,1,1133380680
10,1298,1,1132938720
10,4172,1,1131125040
10,6059,1,1130515020
10,13211,1,1127665020
10,6502,1,1135262640
10,2573,1,1135253520
10,6151,1,1135212420
10,3863,1,1135211880
10,1590,1,1135249200
10,201,1,1134481020
10,32730,1,1147044180
10,9756,1,1156240140
10,50187,1,1155818220
11,12,1,1133390940
11,2321,1,1132237800
11,2324,1,1132251780
11,3195,1,1131127320
11,4045,1,1131127980
11,4045,1,1131134760
11,17229,1,1140785520
11,21282,1,1138584180
11,21754,1,1138551660
11,1458,1,1138584720
11,22103,1,1138379940
11,23,1,1135713360
11,23,1,1135694820
11,23,1,1135772520
11,26836,1,1135266120
11,23,1,1135358940
11,2850,1,1135355160
11,2596,1,1147343580
11,32095,1,1147340160
11,7923,1,1142622480
12,17,1,1133379300
13,14,1,1133385360
14,34,1,1133379360
14,1,1,1133378220
15,5,1,1133466540
16,17,1,1133517660
16,35,1,1133699520
16,87,1,1133509800
16,32,1,1133518200
16,17,1,1133682720
16,35,1,1133507520
16,6,1,1133504820
16,17,1,1133514000
16,35,1,1133698440
16,3654,1,1131212280
16,4197,1,1131202560
16,5569,1,1130665800
16,5597,1,1130658240
16,5715,1,1130650560
16,10785,1,1128538080
16,446,1,1128535920
16,6993,1,1128538260
16,7,1,1128536820
16,10080,1,1127585400
16,592,1,1127212740
16,1051,1,1126671180
16,592,1,1127360940
16,15171,1,1126657200
16,460,1,1126682760
16,592,1,1126668360
16,592,1,1127213460
16,8716,1,1126655460
16,460,1,1126641660
16,460,1,1126887480
16,388,1,1125818880
16,16406,1,1125820980
16,4688,1,1125809520
16,3320,1,1125811620
16,6332,1,1125816600
16,16590,1,1125673560
16,127,1,1125572880
16,16835,1,1125576780
16,16747,1,1125574620
16,11799,1,1140774120
16,2826,1,1140030120
16,18565,1,1140088560
16,17898,1,1140004200
16,4063,1,1135348680
16,10471,1,1135252440
16,2613,1,1135257960
16,27024,1,1135347540
16,11007,1,1135250160
16,558,1,1135257540
16,15864,1,1135348140
16,3016,1,1134988260
16,890,1,1134894240
16,6739,1,1134874320
16,2176,1,1134420360
16,29428,1,1134247380
16,2957,1,1134250620
16,29489,1,1134227280
16,29483,1,1134153840
16,10978,1,1133874840
16,4373,1,1133968020
16,4373,1,1133876760
16,2318,1,1133674380
16,460,1,1146450600
16,33562,1,1146331320
16,32358,1,1146336300
16,33599,1,1146337500
16,8273,1,1146323280
16,33565,1,1146339060
16,1620,1,1146334800
16,11942,1,1146568980
16,20862,1,1146435180
16,430,1,1146312420
16,33720,1,1146433560
16,17337,1,1146311100
16,33302,1,1146262020
16,33302,1,1146219480
16,1076,1,1146211680
16,12668,1,1146224700
16,3486,1,1146148860
16,2670,1,1146148500
16,12668,1,1146262980
16,37344,1,1143568980
16,4716,1,1143573000
16,15654,1,1143090180
16,639,1,1143070560
16,50,1,1143071820
16,37736,1,1142923320
16,35933,1,1142934120
16,31460,1,1142676900
16,455,1,1142676360
16,31460,1,1142678340
16,33835,1,1141474620
16,4057,1,1141472220
16,4057,1,1141490280
16,40211,1,1141480200
16,28632,1,1141486380
16,11627,1,1141479180
16,1524,1,1141481400
16,17819,1,1141481160
16,40266,1,1141485180
16,1421,1,1141476960
16,4670,1,1141776720
16,40638,1,1141153500
16,40618,1,1141161000
16,38746,1,1141156380
16,4670,1,1141148820
16,17934,1,1141154760
16,236,1,1140882900
16,18958,1,1140882480
16,22802,1,1140885960
16,42227,1,1156638300
16,42221,1,1156628760
16,295,1,1156627260
16,23470,1,1157078580
16,295,1,1156865640
16,1672,1,1156164660
16,2881,1,1155762360
16,17680,1,1155738960
16,42770,1,1155536400
16,43112,1,1155291960
16,41644,1,1155025080
16,43107,1,1155033060
16,43112,1,1155022080
16,28383,1,1154753700
16,43285,1,1154753400
16,32452,1,1154080260
16,410,1,1154079720
16,283,1,1154079420
16,57,1,1154078580
16,3387,1,1153921800
16,4243,1,1154016180
16,23036,1,1154039340
16,4243,1,1154010660
16,5183,1,1154033880
16,10044,1,1154031360
16,127,1,1154005620
16,4243,1,1154007660
16,5183,1,1154271300
16,510,1,1153998480
16,4243,1,1154232240
16,6930,1,1154073180
16,2326,1,1154072220
16,6665,1,1152977100
16,7299,1,1152975780
16,1516,1,1152163620
16,4021,1,1152254460
16,45422,1,1152064980
16,45434,1,1152062220
16,44059,1,1151772300
16,271,1,1151771520
16,36867,1,1151423160
16,8189,1,1151415960
16,6116,1,1150960380
16,352,1,1150970760
16,24456,1,1150977480
16,46730,1,1150970940
16,46719,1,1150969620
16,46710,1,1150954260
16,266,1,1150970520
16,13107,1,1150968960
16,45125,1,1150860000
16,47956,1,1149611040
16,27247,1,1149010080
17,28,1,1133378940
17,98,1,1133453940
17,16,1,1133529000
17,510,1,1147078980
18,19,1,1133379900
18,35,1,1133380320
18,35,1,1133440080
18,79,1,1133377920
18,18,1,1133380020
18,73,1,1133380920
18,28,1,1133378040
18,97,1,1133378160
18,17,1,1133380440
18,238,1,1133371740
18,238,1,1133369940
18,2573,1,1132228740
18,4045,1,1131130680
18,5569,1,1130521620
18,8,1,1130516280
18,3221,1,1130515680
18,6562,1,1130252940
18,6824,1,1130244780
18,6149,1,1130246640
18,6066,1,1130256120
18,6926,1,1130250240
18,2679,1,1130244960
18,4063,1,1129657800
18,8478,1,1129658220
18,2691,1,1129658400
18,8619,1,1129647180
18,9371,1,1129213200
18,10269,1,1129033800
18,5997,1,1128524160
18,1516,1,1128550320
18,11757,1,1128091920
18,4243,1,1128094080
18,11814,1,1128093240
18,52,1,1128093780
18,11833,1,1128092040
18,11871,1,1128093000
18,15418,1,1126566840
18,827,1,1126284720
18,6101,1,1140793440
18,17341,1,1140786540
18,19006,1,1139837640
18,18,1,1139849280
18,3443,1,1139600160
18,19687,1,1139394900
18,2423,1,1139400840
18,19633,1,1139401080
18,20254,1,1138988820
18,20280,1,1138989420
18,1297,1,1138731960
18,22010,1,1138401780
18,23777,1,1137665520
18,24237,1,1137586440
18,24198,1,1137585840
18,24311,1,1137520380
18,24315,1,1137518160
18,1842,1,1137517380
18,24384,1,1137521220
18,5835,1,1137517860
18,2670,1,1137509220
18,28383,1,1134755940
18,7468,1,1134485100
18,5789,1,1134157800
18,30146,1,1133611680
18,4550,1,1133528400
18,5956,1,1133531040
18,30469,1,1133528640
18,27491,1,1147451520
18,32898,1,1146141180
18,23003,1,1146141060
18,2362,1,1146141540
18,34828,1,1145005380
18,7929,1,1144753440
18,1477,1,1144752900
18,19735,1,1144759680
18,37013,1,1143718020
18,1171,1,1143654060
18,1419,1,1143655980
18,37123,1,1143655320
18,37145,1,1143654240
18,4065,1,1143654420
18,9488,1,1141750260
18,40172,1,1141321740
18,14114,1,1141317000
18,50,1,1141323960
18,4434,1,1141135980
18,19824,1,1141137480
18,40618,1,1141138500
