count,unique,nodes_num,top10,top10_20,mid,last,precision_10,recall_10,precision_20,recall_20
9,0.180469219971927,4987,9,0,0,0,0.018072289156626505,1.0,0.009027081243731194,1.0
12,0.1904157410345922,6302,12,0,0,0,0.01904761904761905,1.0,0.009523809523809525,1.0
16,0.23061400980109542,6938,16,0,0,0,0.023088023088023088,1.0,0.011535688536409516,1.0
20,0.2350452462098954,8509,19,0,0,0,0.02235294117647059,0.95,0.011169900058788948,0.95
69,0.7569109258446687,9116,68,1,0,0,0.07464324917672886,0.9855072463768116,0.03784969829950631,1.0
96,0.9311348205625606,10310,93,2,0,0,0.09020368574199807,0.96875,0.0460717749757517,0.9895833333333334
115,1.0124130645303284,11359,112,3,0,0,0.0986784140969163,0.9739130434782609,0.05063848524878908,1.0
168,1.4267515923566878,11775,166,2,0,0,0.14103653355989804,0.9880952380952381,0.07133757961783439,1.0
156,1.2355456993505465,12626,149,7,0,0,0.11806656101426308,0.9551282051282052,0.06178217821782178,1.0
232,1.7927517193416274,12941,218,14,0,0,0.16846986089644514,0.9396551724137931,0.08964451313755796,1.0
300,2.2068559658672946,13594,268,32,0,0,0.19720382634289918,0.8933333333333333,0.11037527593818984,1.0
351,2.450261780104712,14325,325,26,0,0,0.22695530726256982,0.9259259259259259,0.1225130890052356,1.0
420,2.8332433890987585,14824,377,43,0,0,0.2543859649122807,0.8976190476190476,0.1417004048582996,1.0
474,3.1114612051988972,15234,416,58,0,0,0.273145108338805,0.8776371308016878,0.1556139198949442,1.0
520,3.354838709677419,15500,453,67,0,0,0.292258064516129,0.8711538461538462,0.16774193548387098,1.0
549,3.4276081663232816,16017,479,70,0,0,0.29918800749531543,0.8724954462659381,0.17140181080237277,1.0
623,3.8509086413648164,16178,529,94,0,0,0.3271490414347557,0.8491171749598716,0.19258114374034002,1.0
684,4.09678965021562,16696,591,93,0,0,0.35410425404433793,0.8640350877192983,0.20485175202156333,1.0
706,4.1461122856471695,17028,621,85,0,0,0.36486486486486486,0.8796033994334278,0.20734214390602057,1.0
703,3.979170204335767,17667,589,114,0,0,0.33352208380520953,0.8378378378378378,0.19898103594678743,1.0
750,4.099032628299721,18297,630,120,0,0,0.3444505194095134,0.84,0.20497403662202787,1.0
777,4.145105361429715,18745,654,123,0,0,0.3489861259338314,0.8416988416988417,0.20725526807148573,1.0
780,4.114358054647115,18958,662,118,0,0,0.34934036939313984,0.8487179487179487,0.20575046161962543,1.0
857,4.401417492681424,19471,706,151,0,0,0.3626091422701592,0.823803967327888,0.22008217770929636,1.0
884,4.395167304728285,20113,724,160,0,0,0.3600198906016907,0.8190045248868778,0.21979114868224764,1.0
888,4.262877442273535,20831,743,144,0,1,0.35669707153144503,0.8367117117117117,0.2129140662506001,0.9988738738738738
907,4.256417476183772,21309,747,159,0,1,0.35070422535211265,0.8235942668136714,0.21262614409762967,0.9988974641675854
943,4.331052220640243,21773,766,176,0,1,0.35186035829122647,0.8123011664899258,0.21635277905374367,0.9989395546129375
966,4.318283415288333,22370,778,184,0,0,0.3477872150201162,0.8053830227743272,0.21502011622708986,0.9958592132505176
990,4.349354186802565,22762,810,169,0,0,0.35588752196836554,0.8181818181818182,0.21507029876977152,0.9888888888888889
999,4.247268398452446,23521,828,161,0,0,0.3520408163265306,0.8288288288288288,0.21024659863945577,0.98998998998999
1037,4.2632790659431015,24324,850,173,0,0,0.3495065789473684,0.819672131147541,0.21032072368421054,0.9864995178399228
1075,4.356812839426116,24674,874,184,0,0,0.35427644912849615,0.8130232558139535,0.21443048236724768,0.9841860465116279
1111,4.380223939441728,25364,892,184,0,1,0.35173501577287064,0.8028802880288028,0.21214511041009465,0.9684968496849685
1144,4.45708497292243,25667,914,182,0,0,0.35619641465315666,0.798951048951049,0.21352035846483539,0.958041958041958
1174,4.428851667421156,26508,958,167,0,0,0.36150943396226415,0.8160136286201022,0.21222410865874364,0.9582623509369677
1218,4.45501097293343,27340,1001,155,0,0,0.36613021214337965,0.8218390804597702,0.21141185076810534,0.9490968801313628
1266,4.516750508402012,28029,1032,154,0,0,0.3683083511777302,0.8151658767772512,0.21159678858162356,0.9368088467614534
1328,4.637195334869753,28638,1085,158,0,0,0.37897310513447435,0.8170180722891566,0.2170420813689541,0.9359939759036144
1369,4.6463480857996196,29464,1127,151,0,0,0.38255261371350985,0.8232286340394448,0.21690427698574338,0.9335281227173119
1403,4.656797663303239,30128,1167,147,0,0,0.38745019920318724,0.8317890235210263,0.21809128630705393,0.9365645046329294
1470,4.761133603238867,30875,1231,143,0,0,0.39876903142209263,0.8374149659863945,0.22251012145748988,0.9346938775510204
1511,4.798348682121309,31490,1268,144,0,0,0.40266751349634805,0.8391793514228988,0.224198158145443,0.9344804765056254
1547,4.81556420233463,32125,1301,140,0,0,0.4050435865504359,0.8409825468648998,0.22428015564202336,0.9314802844214609
1610,4.911980962260121,32777,1334,161,1,0,0.40707964601769914,0.8285714285714286,0.22807017543859648,0.9285714285714286
1661,4.980659090227594,33349,1357,170,14,0,0.4070185962807438,0.8169777242624925,0.2289698605488079,0.9193257074051776
1687,4.9725873960973885,33926,1341,202,17,0,0.39534198113207547,0.7949021932424422,0.22741341193809875,0.9146413752222881
1684,4.882857805613547,34488,1289,226,25,0,0.3738399071925754,0.7654394299287411,0.21966072205306655,0.899643705463183
